PersonUrn,Label,Description,Status,Redirect,StemClass
urn:cite:hmt:pers.pers150,Oileus,"father of Ajax (the lesser) and Medon",proposed,,
urn:cite:hmt:pers.pers151,Ixion,"one of the Lapiths, inhabitant of Tartarus, always spins on a fiery wheel",proposed,,
urn:cite:hmt:pers.pers152,Hippodamia,"wife of Pirithous",proposed,,
urn:cite:hmt:pers.pers153,Caeneus,"one of the Lapiths",proposed,,
urn:cite:hmt:pers.pers154,Elatus,"one of the Lapiths",proposed,,
urn:cite:hmt:pers.pers155,Phlegyas,"son of Ares, king of the Lapiths",proposed,,
urn:cite:hmt:pers.pers156,Eris,"personification of strife, threw the golden apple",proposed,,
urn:cite:hmt:pers.pers157,Cydoemus,"personification of confusion in battle",proposed,,
urn:cite:hmt:pers.pers158,Patroclus,"son of Menoetius, comrade of Achilles",proposed,,
urn:cite:hmt:pers.pers159,Talthybius,"a herald of Agamemnon",proposed,,
urn:cite:hmt:pers.pers160,Eurybates,"a herald of Agamemnon",proposed,,
urn:cite:hmt:pers.pers161,Pulaimenes,"king of the Paphlagonians, Trojan ally",proposed,,
urn:cite:hmt:pers.pers162,Eteonus,"son of Boethous, companion of Menelaus",proposed,,
urn:cite:hmt:pers.pers163,Aristonicus,"of Alexandria",proposed,,
urn:cite:hmt:pers.pers164,Pandrosus,"daughter of Cecrops",proposed,,
urn:cite:hmt:pers.pers165,Cecrops,"mythical king of Athens",proposed,,
urn:cite:hmt:pers.pers166,Ceryx,"son of Pandrosus and Hermes",proposed,,
urn:cite:hmt:pers.pers167,Clio,"muses of history",proposed,,
urn:cite:hmt:pers.pers168,Nereus,"shapeshifting sea god",proposed,,
urn:cite:hmt:pers.pers169,Pamphilus,"of Alexandria",proposed,,
urn:cite:hmt:pers.pers170,Eetion,"king of Thebe in the Troad, father of Andromache",proposed,,
urn:cite:hmt:pers.pers171,Andromache,"wife of Hector",proposed,,
urn:cite:hmt:pers.pers172,Hector,"Trojan prince, greatest of the warriors of Troy",proposed,,
