URN,Label,Description,Pleiades,Status,Redirect
urn:cite:hmt:place.place402,Amydon,"a city of the Paeonians, on the river Axius, in Macedonia",,proposed,
urn:cite:hmt:place.place403,Axius,"river in Macedonia",pleiades.stoa.org/places/491534,proposed,
urn:cite:hmt:place.place404,Cytorus,a town in Paphlagonia,,proposed,
urn:cite:hmt:place.place405,Sesamon,"or Sesamus, a town in Paphlagonia",,proposed,
urn:cite:hmt:place.place406,Cromna,"or Kromna, a locality in Paphlagonia",pleiades.stoa.org/places/844994,proposed,
urn:cite:hmt:place.place407,Aegialus,"a town in Paphlagonia",,proposed,
urn:cite:hmt:place.place408,Erythini,"or Erythinoi, a place in Paphlagonia",,proposed,
urn:cite:hmt:place.place409,Alybe,"a country near Troy, productive of silver, homeland of the Halizones",,proposed,
urn:cite:hmt:place.place410,Ascania,"a district of Phrygia",pleiades.stoa.org/places/511165,proposed,
urn:cite:hmt:place.place411,Chios,"Greek island off the coast of Anatolia",pleiades.stoa.org/places/550497,proposed,
urn:cite:hmt:place.place412,Smyrna,"city in Asia Minor",pleiades.stoa.org/places/550771,proposed,
urn:cite:hmt:place.place413,Cyme,"a costal town on Euboea",,proposed,
urn:cite:hmt:place.place414,Meles,"a river near Smyrna",pleiades.stoa.org/places/845016,proposed,
urn:cite:hmt:place.place415,Leontinoi,"a town in Sicily, also called Leontini",pleiades.stoa.org/places/462279,proposed,
urn:cite:hmt:place.place416,Kapherides,"promontory on which the Locrian Ajax died",,proposed,
urn:cite:hmt:place.place417,Cyrene,"Greek colony in Lybia",pleiades.stoa.org/places/373778,proposed,
urn:cite:hmt:place.place418,Brygias,"a city in the Balkans, also Brygium",,proposed,
urn:cite:hmt:place.place419,Leuke,"The white island where Thetis and the Muses transport Achilles' body",pleiades.stoa.org/places/50091,proposed,
urn:cite:hmt:place.place420,Mytilene,"major port on Lesbos",pleiades.stoa.org/places/550763,proposed,
urn:cite:hmt:place.place421,Olympia,site in the Peloponnese where the Olympic games were held,pleiades.stoa.org/places/570531,proposed,
urn:cite:hmt:place.place422,Othrys,"mountain in central Greece in the southern part of Magnesia, home base of the Titans",pleiades.stoa.org/places/540994,proposed,
urn:cite:hmt:place.place423,Copais,"a lake in lake in the center of Boeotia, also known as the Cephisian lake",pleiades.stoa.org/places/540715,proposed,
urn:cite:hmt:place.place424,Sigeion,"city in the north-west of the Troad region located at the mouth of the Scamander",pleiades.stoa.org/places/550877,proposed,
urn:cite:hmt:place.place425,Rhoiteion,"a city in the northern Troad bounded by the Simoeis and Ophryneion rivers",pleiades.stoa.org/places/550856,proposed,
urn:cite:hmt:place.place426,Pieria,"city founded by Pierus in the southern part of Macedonia",,proposed,
urn:cite:hmt:place.place427,Mt. Athos,"A mountain in Greece that is linked to the Gigantomachy",pleiades.stoa.org/places/501366,proposed,
urn:cite:hmt:place.place428,Amathia,"city founded by Amathus in the region called Emathia",,proposed,
urn:cite:hmt:place.place429,Paphos,"a city on Cyprus",pleiades.stoa.org/places/707596,proposed,
urn:cite:hmt:place.place430,Kos,"island of the group of the Dodecanese in Caria, also spelled Cos",,proposed,
urn:cite:hmt:place.place431,Teuthrania,"City in Mysia",pleiades.stoa.org/places/845079,proposed,
urn:cite:hmt:place.place432,Pyrrha,"an ancient settlement whose location is completely unknown",pleiades.stoa.org/places/543856,prposed,
