MorpheusLemma,Urn
δηιόω,urn:cite:perseus:lexentity.lex18665.1
δηλόω,urn:cite:perseus:lexentity.lex18687.1
δημός,urn:cite:perseus:lexentity.lex18798.1
δηρός,urn:cite:perseus:lexentity.lex18818.1
Ἴδης,none
διά,urn:cite:perseus:lexentity.lex18824.1
διασφάξ,urn:cite:perseus:lexentity.lex20282.1
διίημι,urn:cite:perseus:lexentity.lex19156.1
διέκ,urn:cite:perseus:lexentity.lex19121.1
δικάζω,urn:cite:perseus:lexentity.lex20903.1
ἰδικός,urn:cite:perseus:lexentity.lex116110.1
διώκω,urn:cite:perseus:lexentity.lex21580.1
Διώνη,none
δάιος,urn:cite:perseus:lexentity.lex17310.1
διπλάζω,urn:cite:perseus:lexentity.lex21215.1
διπλόος,urn:cite:perseus:lexentity.lex21252.1
διπλός,urn:cite:perseus:lexentity.lex21254.1
διπλόω,urn:cite:perseus:lexentity.lex21256.1
διέπω,urn:cite:perseus:lexentity.lex19135.1
διότι,urn:cite:perseus:lexentity.lex21569.1
διφυής,urn:cite:perseus:lexentity.lex21417.1
διχθά,urn:cite:perseus:lexentity.lex21442.1
διχθάς,urn:cite:perseus:lexentity.lex21444.1
διχάω,urn:cite:perseus:lexentity.lex21427.1
δέκα,urn:cite:perseus:lexentity.lex17388.1
δίκη,urn:cite:perseus:lexentity.lex17565.1
δάκνω,urn:cite:perseus:lexentity.lex17315.1
δάκρυον,
Δῆλος,
δόλος,
δέμας,
δέμω,
δμωή,
δήν,
δύναμαι,
δήνεα,
ἰδνόομαι,
ὀδάξ,
δόξα,
δόξις,
δύο,
δοιώ,
δοιάζω,
δοιοί,
δοκή,
δοκεύς,
δοκάζω,
δοκόν,
δοκός,
δοκέω,
δολόω,
δέομαι,
Ἰδομενεύς,
Δίον,
δοξόω,
δορά,
Δῖος,
δοτός,
δέπας,
δήπου,
Δῶρα,
Δάρας,
Δάρης,
δέρμα,
Δῶρος,
δέρος,
δόρπον,
ἱδρώς,
δόρυ,
ἱδρύω,
ὁδόσ,
ὁδός,
δίς,
δύσις,
δότης,
δυικός,
δυάς,
δυάω,
δίφρος,
δίχα,
δέχομαι,
ἰδέω,
δίω,
δέω1,
δέω2,
ἀεί,
εἰδοί,
ἀείδω,
εἰάζω,
εὐθύσ,
εὐθύς,
εἰκάζω,
εἰκών,
εἰκός,
εἰλέω,
εἰμί,
εὐνή,
εὐνάζω,
εὐνάω,
ἱερά,
εὑραί,
ἱερεύς,
ἱερεύω,
ἱεράζω,
ἱερόν,
ἱεράομαι,
Εὖρος,
ἱερός,
εὐρύς,
εὑρίσκω,
ἀείρω,
εἰσβαίνω,
εἰσίημι,
ὑετός,
εὐφυής,
εὐχή,
ἀείω2,
ζεύγνυμι,
Ζεύς,
ζητέω,
ζώιον,
ζώνη,
ζοφόω,
ζώς,
ζυγή,
ζυγόν,
ζυγός,
ζυγέω,
ζυέω,
ζόφος,
ῥάζω,
ζάω,
ζῳόω,
ζωή,
ζωός,
ζωόω,
ῥητός,
θέα,
Ἰθακήσιος,
θαλία,
θαρσέω,
Θόας,
Θῆβαι,
Θήβη,
θεά,
θεία,
Θεανώ,
θεάομαι,
θεον,
θεῖοσ,
ERROR: ambiguous pkey for θεῖος,
θερμός,
θεός,
θεάω,
θάζω,
Θόη,
θηλή,
θηλάζω,
θηλέω,
θηράω,
Ἰθάκη,
θήκη,
ἐθέλω,
Ἰθώμη,
θέμις,
θύμον,
θύμος,
θήν,
θνήσκω,
θύνω,
θοάζω,
θάομαι,
θορή,
θορός,
θύος,
θοός,
θοόω,
θάπτω,
θήρ,
θήρα,
θώραξ,
θρασύς,
θρόνον,
θρόνος,
Θρᾷξ,
θρίξ,
Θρύον,
θρόος,
θρέψις,
θρέω,
ἰθύσ,
θίς,
θύτης,
Θέτις,
θυμός,
θυμόω,
θυτήρ,
θυάω,
ὠθέω,
θέω,
θύω1,
θύω2,
Θόων,
ῥιγέω,
ῥινόν,
ῥινός,
ῥινάω,
ῥάιος,
ῥιπή,
ὀιστός,
ἀκή,
καί,
καθά,
καθίημι,
καθέν,
καθώς,
καιρός,
καιρόω,
κακία,
κακάζω,
κακός,
κακόω,
καλός,
καλέω,
κανών,
ἱκανός,
καίνω,
καπνός,
καρπόσ,
καρπός,
κατά,
κατόω,
καίω,
κήδεος,
κάδος,
κήδω,
κεύθω,
κεινός,
κενός,
κενόω,
κερδώ,
κερδαίνω,
κείρω,
κηλέω,
κηρίς,
κάθημαι,
κόιλος,
κισσός,
κισσάω,
κάκη,
κύκλος,
κάλαις,
κήλας,
κλαίω,
κήλεος,
κλείς,
κάλη,
κόλον,
κόλος,
κλέος,
κόλπος,
κλυτός,
κλάω,
κάλως,
κόμη,
κόμης,
κάμνω,
κάμπτω,
κάμψη,
κάμψις,
ἀκήν,
κἀν,
κύνεος,
κνίζω,
κόνιος,
κνισάω,
ἱκνέομαι,
Κῦνον,
Κῦνος,
ἱκάνω,
κνάω,
ἀκοή,
κοιμάω,
κοινός,
κοινόω,
κολεάζω,
κολεόν,
κολεός,
ἀκέομαι,
κομψός,
κομάω,
κονία,
κονιάω,
Κώπαι,
κώπη,
κάπρος,
κόπτω,
Κήρ,
κάρ,
κάρα,
Κάραι,
κέρας,
κρέας,
κόρη,
κριός,
κρίνον,
κρίνω,
κάρον,
κράς,
κόρση,
κόρσης,
κόρυς,
κρύψις,
Κῶς,
ἐκάς,
κίς,
Κάσος,
ἀκτή,
ἀκτέα,
κτείνω,
ἀκτάζω,
κάτος,
κτύπος,
κτυπέω,
κάτω,
κυνώ,
κυνέα,
κυνέη,
κυνάω,
κυρτός,
Κύφος,
ἀκέω,
κίω,
κωλύω,
ἀέκων,
κύων,
κωφός,
ἁλή,
λαβή,
λαγχάνω,
ἰλαδόν,
λαμβάνω,
λίαν,
λανθάνω,
Λάας,
λαός,
λώβη,
λίγγω,
λέγος,
λήγω,
λέγω1,
λέγω2,
λέγω3,
λεία,
λείβω,
λεύκη,
λεκτός,
λεπτός,
λείπω,
λεπόω,
λευκόν,
λευκάς,
λίζω,
ληίς,
Λητώ,
λήθη,
λάθρῃ,
λιγύς,
λιθόομαι,
λιθόω,
λιμνει,
Ἴλιον,
λήιον,
Ἴλιος,
λιτός,
ἀλκή,
Λύκιος,
λύκος,
ἑλκέω,
ἀλλά,
Ἰάλμενος,
λίμνη,
Λῆμνος,
λίνον,
λίνος,
λάξ,
λῆξισ,
λέξις,
λογόω,
λοιβή,
λοιβάομαι,
λοιμός,
λοιπάζω,
λοιπάς,
ἱλάομαι,
λοπός,
λούω,
λίπα,
λύπη,
λίπος,
λίπτομαι,
λάπτω,
λέπω,
λίσ,
ἁλίς,
λίς,
λύσις,
ἱλάσκομαι,
λίσσομαι,
λυγρός,
Λυκία,
λυκόω,
λυπέω,
λόφος,
λάχη,
λάχνη,
λέχος,
ὁλάω,
λόω,
λάω1,
λάω2,
λέων,
λωτός,
λωίων,
ἠμί,
μά,
μακρός,
μανθάνω,
μαίνομαι,
ἆμαρ,
μαστός,
ματάω,
μαχάω,
μέγας,
μίγδα,
Μέγης,
μόγις,
μίγνυμι,
μόγος,
μήδομαι,
μῆδοσ,
ERROR: ambiguous pkey for μῆδος,
Μέδων,
μεθό,
μειόω,
μείς,
μεσόω,
μετά,
μεταί,
μείων,
μηδέ,
μηδείς,
μηνίω,
μηρία,
μηρίς,
μητρίς,
μέθη,
μιαίνω,
μικρός,
μισθός,
μισέω,
μάκαρ,
μήκων,
μάλα,
μέλας,
μάλη,
μέλι,
μέλλω,
μῆλον1,
μῆλον2,
μέλος,
μέλω,
ἠμέν,
μήν,
ὑμήν1,
ὑμήν2,
μήνιον,
μένος,
μάντις,
μένω,
μόνως,
μοιράω,
μολπή,
μολπάζω,
μάομαι,
μονόω,
μορφή,
μορφάζω,
μορφάω,
Μοῦσα,
ἄμπ,
ἄμπν,
μήπως,
μόριον,
μόριος,
μόρον,
μέρος,
ἁμόσ,
ἱμάς,
μής,
μέση,
μέσης,
μέσος,
μέσφα,
μήτε,
μέτειμι1,
μάτη,
μάτην,
μήτηρ,
μήτις,
μάτος,
μήτρα,
μέτρον,
μυκάομαι,
μυρίος,
μυρίς,
Μυσός,
μυχός,
μυάω,
ἀμφί,
μάχη,
μάχομαι,
μέχρι,
μάψ,
ἐμέω,
μύω,
ἀμάω1,
ἐάν,
ἀνά,
νή,
ἄν1,
ἄν2,
νέα,
ναί,
ἡνία1,
ἡνία2,
Ναιάς,
Ναίς,
ναίω1,
ναίω2,
ἁνδάνω,
νειός,
ἐν-εἰμί,
νεώς,
νευρά,
νεάω,
Ῥήνη,
νηλής,
ἐνίημι,
νόησις,
νηέω,
νόθος,
νικάω,
νήιος,
νίκη,
νέκυς,
ἀνά-λάζω,
ἀνά-λάω1,
ἀνά-λάω2,
ἐν-ἠμί,
Νόμος,
νόμος,
νύμφη,
νύξ,
νύξις,
νομή,
νέομαι,
νομεύς,
νομάζω,
νομός,
ἡνίον,
νόος,
νοέω,
νάπη,
νήπιος,
νάπος,
ἀνήρ,
νέρθε,
Νῖσα,
νύσσα,
νύσσω,
νόσφι,
ἀντί,
ἀντιβολέω,
Νότος,
νότος,
ἀντάω,
νυνί,
νυνδί,
νυός,
ἀνά-φημί,
νέφος,
ἀνύω,
νάω,
νέω_,
ἄνω1,
νέω1,
ἄνω2,
νέω2,
νέω3,
ἐξ,
ἀξία,
ξανθός,
ξανθόω,
ξαίνω,
ἔξειμι2,
ξενόω,
ἐξίημι,
ξηρά,
ξηρός,
ἀξιάω,
ξύλον,
ξένη,
Ξάνθος,
ξένιος,
ξένοσ,
ξένος,
ξος,
ὀξύς,
ξυλόω,
ξυρόν,
ξυρός,
ξυρέω,
ξυστόν,
ξυστόσ,
ξυστός,
ξίφος,
ἀξίω,
ξέω,
ῥοή,
οἰ,
οὐδέ,
οὐδείς,
οὐδόσ,
οὐδός,
οἰκία,
οἰκίον,
οὐλή,
οὐλαί,
οὖλοσ,
οὖλοϲ,
ERROR: ambiguous pkey for οὖλος,
οὔλω,
οὐλέω,
´ομαι,
ἰάομαι,
Οἴμη,
ῥέον,
οὖρο?,
οὖρον1,
οὖρον2,
οὖροσ,
οὖροϲ,
ορος,
ERROR: ambiguous pkey for οὖρος,
Ἴος,
ῥέος,
ῥοάς,
οὐσία,
οἰστός,
οὐτίς,
οὐτάω,
οἰάω,
ἀπό,
πόα,
παλέω,
παπάω,
παρά,
παρών,
παρέξ,
παρόω,
πατέομαι,
πατήρ,
πατρίς,
παχύς,
παύω,
πάγη,
πήγνυμι,
πάγος,
πάγχυ,
πέδιον,
ἐπεί,
πεδίον,
πεζός,
πείθω,
ἔπειμι1,
ἔπειμι2,
πειράζω,
πειράω,
ἠπειρωτικός,
πελάω,
πεπλος,
περί,
περί-ὕω,
περάω1,
πέζα,
πηγή,
πηγάζω,
πηγάς,
πηδάω,
πηρός,
πηός,
πόθεν,
πάθη,
πόθι,
πάθος,
πύθω,
ἐπικουρέω,
ERROR: ambiguous pkey for ἄπιος,
πιπίσκω,
πιστόν,
πιστόσ,
πιστός,
πύκα,
ὁπλή,
πάλα,
πάλαι,
πέλας,
πλατύς,
πλείων,
πάλη,
πληγή,
Πύλης,
πάλιν,
πόλις,
πάλλω,
πλήν,
Πύλος,
ἁπλόος,
πλέος,
Πέλοψ,
πλήρης,
ἁπλός,
πλήσσω,
ἁπλόω,
πέλω,
πλέω,
πλέως,
πόμα,
πῶμα1,
πῶμα2,
πίμπλημι,
πίμπρημι,
πέμπω,
ἐπάν,
πνοή,
πόνος,
πάντῃ,
πέντε,
πόντος,
πάνυ,
πίνω,
πνέω,
πύξ,
πού,
ποώδης,
ποδίς,
ποδόω,
ποθή,
Ποινή,
ποιός,
ποιέω,
πολύς,
πολέω,
πάομαι,
πομπή,
πομπεύς,
πούς,
ποσόω,
ποτέ,
ποτόν,
ποτάομαι,
ποτός,
ἱππόδαμος,
Ἱππόθοος,
πέπλος,
Ἱπποδάμεια,
Ἱπποδάμειον,
πόποι,
ἱππότης,
πίπτω,
πέπων,
ὑπέρ,
πέρ,
πρό,
πέρα,
πέραν,
πύργος,
πάρειμι1,
Πέρευς,
πρώην,
πρήθω,
πρώιος,
Πάρις,
πρίν,
προίημι,
πρό-ἰάομαι,
προσίημι,
πρέπω,
πρός,
πρόσω,
πρότερος,
πόρω,
πρό-ἱέω,
πρωί,
πόσε,
πόσισ,
πίσον,
πίσος,
πίσσα,
πάσσος,
πάσσω,
ἑπτά,
ὁπότε,
πότε,
πτερόν,
πτηνός,
πότης,
πότις,
πότος,
πέτρα,
ἑπτάς,
ῥίπτω,
Πυθώ,
Πυθών,
πυκνός,
πυλόω,
πυρά,
πυρεύς,
πυράζω,
πυρήν,
πυρός,
πυρόω,
ῥέπω,
πωλέομαι,
πωλέω,
πίων,
ἀήρ,
ἀρή,
ἐώρα,
ἀραρίσκω,
ὀργή,
ὀργάζω,
ἀργόσ,
ἀργός,
ὀργάω,
ἔργω1,
ἀράζω,
Ἄρης,
ὀρθός,
Ἄρις,
ὁρμή,
ἕρμα1,
ἕρμα2,
ὁρμάζω,
ὁρμάω,
ἀρνός,
ἀράομαι,
ἔροσ,
ἀρίς,
ἀρτάω,
ἀρχή,
ἀρόω,
ἐράω1,
ἐράω2,
ἰόσ,
σύ,
ἰός,
σαφής,
σαόω,
σβέννυμι,
ὡσεί,
σεύω,
σηκός,
Ἀσίης,
ἰσόθεος,
ἐσθίω,
σιγή,
σιγάζω,
σιγάω,
Ἄσιος,
σιωπή,
σιωπάω,
σκαιός,
σκηνή,
σκηνάω,
ἀσκός,
σκότος,
σέλας,
Σόλοι,
Σόλων,
σμικρός,
Σάμος,
σύν,
σύνειμι1,
σορός,
σόος,
σοφός,
σοφόω,
σοέω,
ὅσπερ,
σπάνις,
σπέος,
σπυράς,
σάρξ,
σός,
ὄσσε,
ἀίσσω,
ἑστία,
στέαρ,
στατός,
στείχω,
στάζω,
ἑστιάω,
στόμα,
στοά,
ἱστοδόκη,
ἱστίον,
ἱστορέω,
Στύρα,
ἱστός,
στίχος,
συκάζω,
συμμαχέω,
συνίημι,
σάφα,
σφάζω,
σφός,
σφυρόν,
ἰσχανάω,
σχάζω,
ἰσχύς,
σχάω,
ἰσόω,
σέω,
ταχύς,
τάγης,
ἠύτε,
τελέω,
τεός,
τίη,
τίθημι,
τόθι,
ὅτι1,
ὅτι2,
τιμή,
τιμάω,
τίκτω,
τήλη,
τέλος,
τλάω,
Τμῶλος,
τέμνω,
Τίνα,
τόνος,
τόξον,
ἆτος,
τέος,
τοτέ,
τόπος,
τίπτε,
τύπτω,
ἀτάρ,
τρία,
Τροία,
Τρώς,
Τρῳάς,
τρίς,
τρέφω,
Τρωιός,
Τρωάς,
τίς,
τίσις,
τάτα,
τότε,
ἡττάω,
τυγχάνω,
τάφοσ,
τόφρα,
τύφω,
τάχα,
τύχη,
τάχος,
τίω,
ῥυμός,
υἱός,
ἀυτή,
ἀυτέω,
υἱόω,
ὑφή,
φή,
φανή,
φανόσ,
φαίνω,
φανάω,
Φόβος,
φόβος,
ὀφείλω,
Φεραί,
φηγός,
φημί,
ἐφίημι,
φθάνω,
Φθῖος,
φιλέω,
ἀφήκω,
φλόξ,
φίλος,
φήμη,
Φοῖβος,
φοξός,
φορά,
φάος,
Φήρ,
ἀφράζω,
φράζω,
Φᾶρις,
φρήν,
φρίξ,
ἀφρός,
φέρω,
φρέω,
φώς,
φάτης,
φάτις,
φυή,
φυγή,
φυτόν,
φυτός,
φύω,
φωνή,
φωνέω,
φόως,
ἠχή,
χαρά,
χαίρω,
χείρ,
ἀχεύω,
χθών,
χιών,
χίλιοι,
χίλιος,
χόλος,
χολή,
ERROR: ambiguous pkey for χοῦς,
ἰχώρ,
χρή,
χώρα,
χρεώ,
χροιά,
χράομαι,
χρώς,
Χρύση,
Χρύσης,
χυτός,
ἰάχω,
ἠχέω,
χάω,
ἀχέω2,
χωράζω,
χωρέω,
ὀψέ,
ψέγω,
ψιλός,
ψιλόω,
ἄψις,
ἁψίς,
ψυχή,
ψυχάζω,
ψύχω,
ὑψόω,
´ω,
ἱέω,
ἰωή,
ἄω1,
ἀίω1,
ἄω3,
Ἰωκή,
Ἴων,
